title,lat,lon,intensity
Namibia,-22.3067125589,17.0118009747,69.0
Itufa,-15.9067125589,23.3118009747,72.0
There is no information available about this place.,-14.6067125589,16.1118009747,75.0
There is no information available about this place.,-18.5067125589,15.6118009747,76.0
There is no information available about this place.,-14.7067125589,13.3118009747,84.0
Engela,-17.4067125589,15.8118009747,86.0
Massango,-11.3067125589,14.9118009747,88.0
Tsumeb,-19.3067125589,17.7118009747,90.0
Ondangwa,-17.9067125589,16.0118009747,91.0
There is no information available about this place.,-19.3067125589,17.8118009747,102.0
There is no information available about this place.,-18.2067125589,14.9118009747,114.0
Monte Christo,-22.4067125589,17.0118009747,115.0
There is no information available about this place.,-19.8067125589,17.7118009747,139.0
Boro 2,-19.9067125589,23.4118009747,144.0
There is no information available about this place.,-19.7067125589,17.8118009747,155.0
Otavi,-19.6067125589,17.3118009747,157.0
There is no information available about this place.,-13.1067125589,15.6118009747,170.0
Sanjamba,-11.8067125589,15.0118009747,178.0
There is no information available about this place.,-18.4067125589,21.4118009747,178.0
There is no information available about this place.,-17.5067125589,22.8118009747,181.0
Lubango,-14.9067125589,13.5118009747,187.0
There is no information available about this place.,-20.2067125589,17.8118009747,188.0
Talismanis,-21.8067125589,20.7118009747,188.0
There is no information available about this place.,-20.6067125589,18.8118009747,192.0
Windhoek,-22.6067125589,17.0118009747,195.0
There is no information available about this place.,-13.4067125589,15.8118009747,203.0
There is no information available about this place.,-21.1067125589,20.8118009747,206.0
There is no information available about this place.,-19.5067125589,23.2118009747,206.0
Huambo,-12.7067125589,15.7118009747,213.0
Humpata,-15.0067125589,13.4118009747,215.0
Quilemba,-14.8067125589,13.5118009747,221.0
There is no information available about this place.,-21.0067125589,20.8118009747,226.0
There is no information available about this place.,-21.2067125589,17.9118009747,227.0
Gobabis,-22.4067125589,18.9118009747,227.0
Ilumba,-17.6067125589,24.5118009747,234.0
Malengwa,-15.2067125589,23.1118009747,238.0
Karibib,-21.9067125589,15.8118009747,239.0
Okashidi,-18.0067125589,14.7118009747,253.0
Otjongava,-18.0067125589,13.8118009747,253.0
Caala,-12.8067125589,15.5118009747,253.0
There is no information available about this place.,-16.0067125589,15.6118009747,253.0
There is no information available about this place.,-20.5067125589,22.9118009747,253.0
There is no information available about this place.,-18.6067125589,15.5118009747,254.0
There is no information available about this place.,-13.6067125589,15.6118009747,254.0
There is no information available about this place.,-19.8067125589,17.9118009747,254.0
Malanje,-9.50671255893,16.3118009747,255.0
There is no information available about this place.,-22.6067125589,20.6118009747,255.0
There is no information available about this place.,-16.3067125589,17.8118009747,255.0
Windhoek,-22.5067125589,17.0118009747,255.0
There is no information available about this place.,-18.3067125589,16.0118009747,255.0
